CodProd,Descrip,CodInst,Activo,Descrip2,Precio_1
3500010032,Arequipe Industrial 4.5kg PAISA,Industriales,Y,AREQUIPE,26.27
3500030022,Nutty Twist (Avellana) 250gr PAISA,Cremas y Natillas,Y,CHOCOLATE,2.15
3500040012,Topping de Chocolate F/S 4.5KG PAISA,Industriales,Y,TOPPING,29.32
3500040022,Topping de Chocolate 250gr PAISA,Cremas y Natillas,Y,TOPPING,1.75
3500060014,Leche Condensada 250grs Paisa X unidad(e,Cremas y Natillas,Y,Leche condensada 250grs,1.85
3500060015,Leche Condensada 500gr Paisa (e),Cremas y Natillas,Y,AUTOSERVICIO,2.06
3500060017,Leche Condensada Paisa 1kg (e),Industriales,Y,INDUSTRIAL,3.71
3500060032,Leche Condensada 4.5 Kg PAISA (e),Industriales,Y,TOPPING,20.62
3602,Queso Amarillo Tipo Maribo DERILAC,Quesos Amarillos,Y,AMARILLO,7.99
3700010012,Jugo Naranja Tachira 900 ml,Paisa,Y,NECTARES,1.0
3700010015,Jugo Naranja Tachira 400 ml,Paisa,Y,NECTARES,0.59
37000200012,Nectar Pera Tachira thermo 900ml,Paisa,Y,NECTARES,1.0
3700020014,Nectar Pera Tachira thermo 400ml,Paisa,Y,NECTARES,0.6
37057,Muchacho Cuadrado (VL) (e),Productos Bobinos,Y,CARNES,3.65
37058,Muchaho Redondo (VL) (e),Productos Bobinos,Y,CARNES,3.65
